attendance_id,game_id,season,game_date,opponent,announced_attendance,attendance_source,attendance_match_status,actual_home_game_records,attendance_note,public_data_flag
ATT_TP_2025_015,TP_2025_015,2025,2025-04-27,Birmingham,4429,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_016,TP_2025_016,2025,2025-05-06,Montgomery,2945,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_017,TP_2025_017,2025,2025-05-07,Montgomery,5854,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_018,TP_2025_018,2025,2025-05-08,Montgomery,3831,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_019,TP_2025_019,2025,2025-05-09,Montgomery,5475,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_020,TP_2025_020,2025,2025-05-10,Montgomery,,,unmatched,,"No exact date/opponent match to public game log; schedule change, postponement, doubleheader, or unmatched public record",True
ATT_TP_2025_021,TP_2025_021,2025,2025-05-11,Montgomery,3610,SRC_2025_TBC_GAME_LOG,matched,2,Exact date/opponent match to public game log,True
ATT_TP_2025_022,TP_2025_022,2025,2025-05-27,Biloxi,,,unmatched,,"No exact date/opponent match to public game log; schedule change, postponement, doubleheader, or unmatched public record",True
ATT_TP_2025_023,TP_2025_023,2025,2025-05-28,Biloxi,3260,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_024,TP_2025_024,2025,2025-05-29,Biloxi,4007,SRC_2025_TBC_GAME_LOG,matched,2,Exact date/opponent match to public game log,True
ATT_TP_2025_025,TP_2025_025,2025,2025-05-30,Biloxi,5760,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_026,TP_2025_026,2025,2025-05-31,Biloxi,7162,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_027,TP_2025_027,2025,2025-06-01,Biloxi,4238,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_028,TP_2025_028,2025,2025-06-10,Pensacola,3246,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_029,TP_2025_029,2025,2025-06-11,Pensacola,3537,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_030,TP_2025_030,2025,2025-06-12,Pensacola,3846,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_031,TP_2025_031,2025,2025-06-13,Pensacola,5381,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_032,TP_2025_032,2025,2025-06-14,Pensacola,4876,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_033,TP_2025_033,2025,2025-06-15,Pensacola,4018,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_034,TP_2025_034,2025,2025-06-17,Chattanooga,3646,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_035,TP_2025_035,2025,2025-06-18,Chattanooga,,,unmatched,,"No exact date/opponent match to public game log; schedule change, postponement, doubleheader, or unmatched public record",True
ATT_TP_2025_036,TP_2025_036,2025,2025-06-19,Chattanooga,7460,SRC_2025_TBC_GAME_LOG,matched,2,Exact date/opponent match to public game log,True
ATT_TP_2025_037,TP_2025_037,2025,2025-06-20,Chattanooga,6007,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_038,TP_2025_038,2025,2025-06-21,Chattanooga,5304,SRC_2025_TBC_GAME_LOG,matched,2,Exact date/opponent match to public game log,True
ATT_TP_2025_039,TP_2025_039,2025,2025-06-22,Chattanooga,3749,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_040,TP_2025_040,2025,2025-07-01,Tennessee,3638,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
