game_date,season,promo_name,promo_category,promo_audience,sponsor,is_fireworks,is_giveaway,is_theme_night,is_weekly_promo,is_group_sales,is_community,is_appearance,is_jersey_auction,source_name
2023-08-08,2023,SMD Night / Space Night,theme_night,Aerospace / families,,0,0,1,0,1,0,0,0,MiLB 2023 Promotional Schedule
2023-08-08,2023,Space Themed T-Shirt Giveaway,giveaway,Adults 18+,,0,1,0,0,0,0,0,0,MiLB 2023 Promotional Schedule
2023-08-09,2023,SMD Night / Space Night,theme_night,Aerospace / families,,0,0,1,0,1,0,0,0,MiLB 2023 Promotional Schedule
2023-08-09,2023,Space Jersey Auction,jersey_auction,General / collectors,,0,0,1,0,0,0,0,1,MiLB 2023 Promotional Schedule
2023-08-10,2023,Bike Night,theme_night,Cyclists / families,,0,0,1,0,1,0,0,0,MiLB 2023 Promotional Schedule
2023-08-10,2023,Pregame Happy Hour,weekly_promo,Adults 21+,Inline Electric,0,0,0,1,0,0,0,0,MiLB 2023 Promotional Schedule
2023-08-10,2023,Burgers and Buds Thursday,weekly_promo,Adults 21+ / value buyers,,0,0,0,1,0,0,0,0,MiLB 2023 Promotional Schedule
2023-08-11,2023,Friday Night Fireworks,fireworks,General,Alabama 811,1,0,0,1,0,0,0,0,MiLB 2023 Promotional Schedule
2023-08-11,2023,Cooler Bag Giveaway,giveaway,Adults 18+,Alabama 811,0,1,0,0,0,0,0,0,MiLB 2023 Promotional Schedule
2023-08-12,2023,Saturday Night Fireworks,fireworks,General,Avid Hotel,1,0,0,1,0,0,0,0,MiLB 2023 Promotional Schedule
2023-08-13,2023,Youth Replica Jersey Giveaway,giveaway,Kids 17 and under,Wicks Family Foundation,0,1,0,0,0,0,0,0,MiLB 2023 Promotional Schedule
2023-08-13,2023,Kids Run The Bases,weekly_promo,Kids / families,,0,0,0,1,0,0,0,0,MiLB 2023 Weekly Promotions
2023-08-22,2023,Dance Team Night 2,theme_night,Dance teams / families,,0,0,1,0,1,0,0,0,MiLB 2023 Promotional Schedule
2023-08-23,2023,Athens Athletics Night,theme_night,Local sports / families,,0,0,1,0,1,1,0,0,MiLB 2023 Promotional Schedule
2023-08-23,2023,All You Can Eat Wednesday,weekly_promo,General / value buyers,,0,0,0,1,0,0,0,0,MiLB 2023 Promotional Schedule
2023-08-23,2023,Dog Day,weekly_promo,Dog owners / families,,0,0,0,1,0,1,0,0,MiLB 2023 Promotional Schedule
2023-08-24,2023,Classic Car Night,theme_night,Automotive fans / families,,0,0,1,0,1,0,0,0,MiLB 2023 Promotional Schedule
2023-08-24,2023,Car Shade Giveaway,giveaway,Adults 18+,Bill Penney Toyota,0,1,0,0,0,0,0,0,MiLB 2023 Promotional Schedule
2023-08-25,2023,Scout Night,theme_night,Scouts / families,,0,0,1,0,1,0,0,0,MiLB 2023 Promotional Schedule
2023-08-25,2023,Friday Night Fireworks,fireworks,General,Bear Creek Collaborative,1,0,0,1,0,0,0,0,MiLB 2023 Promotional Schedule
2023-08-26,2023,Saturday Night Fireworks,fireworks,General,Boeing,1,0,0,1,0,0,0,0,MiLB 2023 Promotional Schedule
